A1PP;A1Blok;A1Condition;A1timestamp;A1SnMouseAct;A1SnLeftClicked;A1SnRightClicked;A1SnDoubleClicked;A1SnWheel;A1SnDragged;A1SnMouseDistance;A1SnKeyStrokes;A1SnChars;A1SnSpecialKeys;A1SnDirectionKeys;A1SnErrorKeys;A1SnShortcutKeys;A1SnSpaces;A1SnAppChange;A1SnTabfocusChange;A2Blok;A2Condition;A2SnMouseAct;A2SnLeftClicked;A2SnRightClicked;A2SnDoubleClicked;A2SnWheel;A2SnDragged;A2SnMouseDistance;A2SnMouseDistance;A2SnKeyStrokes;A2SnChars;A2SnSpecialKeys;A2SnDirectionKeys;A2SnErrorKeys;A2SnShortcutKeys;A2SnSpaces;A2SnAppChange;A2SnTabfocusChange;B1Blok;B1Condition;B1Squality;B1Sneutral;B1Shappy;B1Ssad;B1Sangry;B1Ssurprised;B1Sscared;B1Sdisgusted;B1Svalence;B1SyHeadOrientation;B1SxHeadOrientation;B1SzHeadOrientation;B1SmouthOpen;B1SleftEyeClosed;B1SrightEyeClosed;B1SleftEyebrowLowered;B1SleftEyebrowRaised;B1SrightEyebrowLowered;B1SrightEyebrowRaised;B1SgazeDirectionForward;B1SgazeDirectionLeft;B1SgazeDirectionRight;B1SAu01_InnerBrowRaiser;B1SAu02_OuterBrowRaiser;B1SAu04_BrowLowerer;B1SAu05_UpperLidRaiser;B1SAu06_CheekRaiser;B1SAu07_LidTightener;B1SAu09_NoseWrinkler;B1SAu10_UpperLipRaiser;B1SAu12_LipCornerPuller;B1SAu14_Dimpler;B1SAu15_LipCornerDepressor;B1SAu17_ChinRaiser;B1SAu20_LipStretcher;B1SAu23_LipTightener;B1SAu24_LipPressor;B1SAu25_LipsPart;B1SAu26_JawDrop;B1SAu27_MouthStretch;B1SAu43_EyesClosed;B2C;B2Squality;B2Sneutral;B2Shappy;B2Ssad;B2Sangry;B2Ssurprised;B2Sscared;B2Sdisgusted;B2Svalence;B2SyHeadOrientation;B2SxHeadOrientation;B2SzHeadOrientation;B2SmouthOpen;B2SleftEyeClosed;B2SrightEyeClosed;B2SleftEyebrowLowered;B2SleftEyebrowRaised;B2SrightEyebrowLowered;B2SrightEyebrowRaised;B2SgazeDirectionForward;B2SgazeDirectionLeft;B2SgazeDirectionRight;B2SAu01_InnerBrowRaiser;B2SAu02_OuterBrowRaiser;B2SAu04_BrowLowerer;B2SAu05_UpperLidRaiser;B2SAu06_CheekRaiser;B2SAu07_LidTightener;B2SAu09_NoseWrinkler;B2SAu10_UpperLipRaiser;B2SAu12_LipCornerPuller;B2SAu14_Dimpler;B2SAu15_LipCornerDepressor;B2SAu17_ChinRaiser;B2SAu20_LipStretcher;B2SAu23_LipTightener;B2SAu24_LipPressor;B2SAu25_LipsPart;B2SAu26_JawDrop;B2SAu27_MouthStretch;B2SAu43_EyesClosed;DC;DCondition;DHR;DRMSSD;DSCL
PP15;1;N;20121015T095600000;19;5;0;0;12;1;901.751.667.449.904;20;18;2;0;0;0;1;0;5;0;N;19;5;0;0;12;1;9,02E+14;902;20;18;2;0;0;0;1;0;5;1;N;0,941733;0,884125;0,005589;0,033829;0,001379;0,23405;0,013317;0,000915;-0,028363;1,534692;-3,758115;1,247433;0;0,205021;0,192469;0;0;0;0;0,841004;0,016736;0,050209;0,020921;0,004184;0;2,799163;0;0;0;0,083682;0;0,008368;0;0;0;0,179916;0;0;0;0;0,778243;1;0,941733157;0,884125476;0,005589232;0,033828554;0,001379164;0,234049863;0,01331652;0,000915;-0,028362813;1,534691935;-3,758114916;1,247432715;0;0,205020921;0,192468619;0;0;0;0;0,841004184;0,016736402;0,050209205;0,020920502;0,0041841;0;2,79916318;0;0;0;0,083682008;0;0,008368201;0;0;0;0,179916318;0;0;0;0;0,778242678;1;N;58;0.048726;223723926
PP4;1;N;20120925T133400000;0;0;0;0;0;0;0;57;31;26;0;9;0;7;0;0;1;N;0;0;0;0;0;0;0;0;57;31;26;0;9;0;7;0;0;1;N;0,942252;0,935755;0,034345;0,026533;0,022907;0,004634;0,000004;0,002166;-0,002069;-6,366526;-1,145668;-7,692154;0;0,43928;0,236882;0,002999;0,029985;0,013493;0;0,844078;0,005997;0,056972;0;0,263868;0,001499;0;0;0,466267;0;0;0;1,127436;0,031484;0,193403;0;0,163418;0;0;0;0;0,44078;1;0,942252286;0,935755375;0,034344777;0,026533174;0,022907443;0,004633835;0,00000414;0,002165584;-0,002068874;-6,366526322;-1,145668235;-7,692153785;0;0,43928036;0,236881559;0,002998501;0,029985007;0,013493253;0;0,844077961;0,005997001;0,056971514;0;0,263868066;0,00149925;0;0;0,466266867;0;0;0;1,127436282;0,031484258;0,193403298;0;0,163418291;0;0;0;0;0,44077961;1;N;58;0.085618;99552278
PP13;3;I;20121010T114700000;33;14;0;1;2;8;41.046.925.914.984.100;51;33;18;0;1;0;0;2;6;0;I;33;14;0;1;2;8;4,10E+16;41047;51;33;18;0;1;0;0;2;6;3;I;0,942779;0,951597;0,025574;0,010192;0,008568;0,007513;0,000173;0,00208;0,008489;-8,550949;5,301565;0,729702;0,008333;0,170833;0,116667;0;0;0;0,104167;0,6375;0,029167;0,15;0;0,620833;0;0;0;0,020833;0;0;0;0;0,008333;0,008333;0,1875;0,004167;0;0,008333;0;0;0,020833;3;0,942779073;0,951596572;0,025573613;0,010192283;0,008567549;0,007512936;0,000173;0,002080378;0,008489442;-8,550948723;5,301565326;0,729701891;0,008333333;0,170833333;0,116666667;0;0;0;0,104166667;0,6375;0,029166667;0,15;0;0,620833333;0;0;0;0,020833333;0;0;0;0;0,008333333;0,008333333;0,1875;0,004166667;0;0,008333333;0;0;0,020833333;3;I;58;0.078739;21899453
PP6;3;T;20121001T164400000;10;6;0;0;0;2;3.461.935.420.281.620;90;34;56;14;5;1;7;11;1;3;T;10;6;0;0;0;2;3,46E+15;3462;90;34;56;14;5;1;7;11;1;3;T;0,943358;0,783193;0,00369;0,024343;0,190411;0,003981;0,000004;0,033159;-0,195842;-9,95642;-4,237598;-8,719298;0,072034;0,004237;0,008475;0,716102;0;0,080508;0;0,919492;0,033898;0,004237;0;0;0,101695;0;0;0;0,067797;0,055085;0;0,182203;1,542373;1,466102;0,372881;0,631356;0;0,122881;0,008475;0,004237;0,042373;3;0,943357889;0,783193353;0,003689988;0,02434307;0,190411066;0,003981048;0,00000373;0,033158705;-0,195842203;-9,956419612;-4,237597707;-8,719298302;0,072033898;0,004237288;0,008474576;0,716101695;0;0,080508475;0;0,919491525;0,033898305;0,004237288;0;0;0,101694915;0;0;0;0,06779661;0,055084746;0;0,18220339;1,542372881;1,466101695;0,372881356;0,631355932;0;0,122881356;0,008474576;0,004237288;0,042372881;3;T;58;0.121922;105129041
PP13;2;T;20121010T105100000;11;7;0;1;3;0;11.085.953.920.519.600;57;42;15;1;3;0;5;2;3;0;T;11;7;0;1;3;0;1,11E+16;11086;57;42;15;1;3;0;5;2;3;2;T;0,944577;0,919049;0,023738;0,016434;0,0143;0,006853;0,00016;0,001615;-0,00365;-8,562619;5,128157;2,504053;0;0,194805;0,190476;0,004329;0;0,012987;0,103896;0,718615;0,004329;0,108225;0;0,69697;0,012987;0;0;0,060606;0;0;0;0;0;0,056277;0,012987;0,025974;0;0;0;0;0,121212;2;0,944577178;0,919048681;0,023737825;0,016434121;0,014300203;0,006853123;0,00016;0,001614525;-0,003649948;-8,562618803;5,12815662;2,504053245;0;0,194805195;0,19047619;0,004329004;0;0,012987013;0,103896104;0,718614719;0,004329004;0,108225108;0;0,696969697;0,012987013;0;0;0,060606061;0;0;0;0;0;0,056277056;0,012987013;0,025974026;0;0;0;0;0,121212121;2;T;58;0.067789;194689417
PP6;2;I;20121001T154700000;16;9;0;3;0;2;4.499.542.046.678.850;154;98;56;0;11;1;21;11;2;2;I;16;9;0;3;0;2;4,50E+15;4500;154;98;56;0;11;1;21;11;2;2;I;0,95001;0,713905;0,000269;0,074073;0,103329;0,002878;0,000004;0,026728;-0,138001;-10,186135;-4,001091;-7,690191;0,029536;0;0;0,679325;0;0,130802;0;0,864979;0,105485;0,008439;0;0;0,240506;0;0;0;0,004219;0,189873;0;0,016878;2,063291;2,012658;0,033755;0,742616;0;0,063291;0,029536;0;0;2;0,950009531;0,713905449;0,000269;0,074072963;0,103329479;0,002877801;0,0000043;0,026727968;-0,138000683;-10,18613499;-4,001090735;-7,690190532;0,029535865;0;0;0,679324895;0;0,130801688;0;0,864978903;0,105485232;0,008438819;0;0;0,240506329;0;0;0;0,004219409;0,189873418;0;0,016877637;2,063291139;2,012658228;0,033755274;0,742616034;0;0,063291139;0,029535865;0;0;2;I;58;0.099255;11048781
PP13;2;T;20121010T105500000;43;20;3;1;1;9;41.450.621.458.851.100;40;7;33;10;16;0;2;6;2;0;T;43;20;3;1;1;9;4,15E+16;41451;40;7;33;10;16;0;2;6;2;2;T;0,962669;0,980268;0,010332;0,003944;0,00901;0,006923;0,000017;0,001689;-0,000256;-8,410736;6,790369;0,415322;0;0,016667;0,004167;0;0;0;0,0125;0,845833;0;0,133333;0;1,5375;0;0;0;0,070833;0;0;0;0;0;0,045833;0,079167;0,041667;0;0;0;0;0,004167;2;0,962669174;0,980268004;0,010332428;0,00394419;0,009010261;0,006923279;0,0000167;0,001688675;-0,000256;-8,410736246;6,790369121;0,415321786;0;0,016666667;0,004166667;0;0;0;0,0125;0,845833333;0;0,133333333;0;1,5375;0;0;0;0,070833333;0;0;0;0;0;0,045833333;0,079166667;0,041666667;0;0;0;0;0,004166667;2;T;58;0.091929;195472041
PP6;2;I;20121001T160400000;64;20;2;7;23;6;3.838.246.835.501.780;9;0;9;0;1;2;0;11;8;2;I;64;20;2;7;23;6;3,84E+15;3838;9;0;9;0;1;2;0;11;8;2;I;0,865087;0,327594;0,028818;0,044745;0,051704;0,001381;0,000219;0,078688;-0,097507;-3,074845;-15,580055;-7,412563;0,029412;0;0;0,10084;0,029412;0,205882;0;0,445378;0,542017;0;0;0;0,046218;0;0;0;1,701681;1,558824;0,789916;0;0,176471;1,163866;0;0,642857;0;0,033613;0;0;0;2;0,865087197;0,327593997;0,028818182;0,044745154;0,051703854;0,001380817;0,000219;0,078688367;-0,097506976;-3,074844526;-15,58005487;-7,412562731;0,029411765;0;0;0,100840336;0,029411765;0,205882353;0;0,445378151;0,542016807;0;0;0;0,046218487;0;0;0;1,701680672;1,558823529;0,789915966;0;0,176470588;1,163865546;0;0,642857143;0;0,033613445;0;0;0;2;I;59;0.077742;90668453
PP6;3;T;20121001T164800000;27;13;0;2;2;5;13.159.183.190.718.300;59;23;36;0;6;2;4;9;0;3;T;27;13;0;2;2;5;1,32E+16;13159;59;23;36;0;6;2;4;9;0;3;T;0,892712;0,528102;0,005108;0,103639;0,101355;0,006117;0,000371;0,045969;-0,169801;-3,96689;-6,220233;-7,430097;0,060086;0;0,030043;0,467811;0;0,540773;0;0,484979;0,296137;0,098712;0,167382;0;0,806867;0,201717;0;0,072961;0,351931;1,042918;0,103004;0,167382;1,025751;1,403433;0,369099;0,579399;0,025751;0,133047;0,004292;0;0,030043;3;0,892712205;0,528102283;0,005107836;0,103638515;0,101355105;0,006116961;0,000371;0,045968922;-0,169801158;-3,966890351;-6,220232703;-7,430096705;0,060085837;0;0,030042918;0,467811159;0;0,540772532;0;0,484978541;0,296137339;0,098712446;0,167381974;0;0,806866953;0,201716738;0;0,072961373;0,35193133;1,042918455;0,103004292;0,167381974;1,025751073;1,403433476;0,369098712;0,579399142;0,025751073;0,13304721;0,004291845;0;0,030042918;3;T;59;0.055611;95288178
PP6;3;T;20121001T163200000;4;3;1;0;0;0;2.399.377.242.233.690;176;130;46;1;15;0;24;2;1;3;T;4;3;1;0;0;0;2,40E+15;2399;176;130;46;1;15;0;24;2;1;3;T;0,896827;0,494292;0,027479;0,195953;0,079273;0,005332;0,001982;0,016496;-0,233776;-8,357343;-6,352694;-3,705367;0,087629;0,108247;0,097938;0,391753;0,005155;0,201031;0;0,670103;0,175258;0,046392;0,427835;0;0,21134;0;0;0,015464;0,551546;0,93299;0,097938;0,056701;0,14433;0,206186;0,005155;1,231959;0,180412;0,180412;0;0;0,103093;3;0,896826973;0,494292201;0,027478734;0,195953233;0,079273412;0,005331552;0,001981823;0,016496225;-0,233775807;-8,357342787;-6,352694288;-3,705366503;0,087628866;0,108247423;0,097938144;0,391752577;0,005154639;0,201030928;0;0,670103093;0,175257732;0,046391753;0,427835052;0;0,211340206;0;0;0,015463918;0,551546392;0,932989691;0,097938144;0,056701031;0,144329897;0,206185567;0,005154639;1,231958763;0,180412371;0,180412371;0;0;0,103092784;3;T;59;0.100127;101487042
PP4;3;T;20120925T153700000;1;1;0;0;0;0;7.214.908.176.823.870;139;96;43;0;15;0;22;0;0;3;T;1;1;0;0;0;0;7,21E+15;7215;139;96;43;0;15;0;22;0;0;3;T;0,915626;0,889298;0,053134;0,035167;0,018823;0,008288;0,000004;0,002342;0,015644;-8,408753;-0,371317;-11,375613;0,012876;0,433476;0,283262;0,025751;0,030043;0,004292;0;0,875536;0,025751;0,064378;0;1,454936;0,008584;0,034335;0;0,72103;0,081545;0;0,004292;2,381974;0,034335;0,145923;0;0,012876;0;0,025751;0;0;0,961373;3;0,915625784;0,889297802;0,053133911;0,035166572;0,018822745;0,008287751;0,00000408;0,002342034;0,015644179;-8,408752906;-0,37131734;-11,37561308;0,012875536;0,433476395;0,283261803;0,025751073;0,030042918;0,004291845;0;0,875536481;0,025751073;0,064377682;0;1,454935622;0,008583691;0,034334764;0;0,721030043;0,081545064;0;0,004291845;2,381974249;0,034334764;0,145922747;0;0,012875536;0;0,025751073;0;0;0,961373391;3;T;59;0.089963;176801976
PP6;3;T;20121001T164100000;40;13;0;2;19;3;21.168.562.320.004.400;13;0;13;2;2;3;0;11;3;3;T;40;13;0;2;19;3;2,12E+16;21169;13;0;13;2;2;3;0;11;3;3;T;0,93206;0,760375;0,001908;0,066114;0,092175;0,006248;0,000007;0,057494;-0,158124;-12,09414;-7,521654;-6,190781;0;0,049383;0,012346;0,518519;0,117284;0,450617;0;0,679012;0,253086;0,012346;0,302469;0,141975;0,302469;0,030864;0,055556;0;0,055556;0,148148;0;0,12963;1,209877;1,314815;0,006173;0,746914;0,024691;0;0;0;0,074074;3;0,932060438;0,76037456;0,00190795;0,066114243;0,092174616;0,006247511;0,00000658;0,05749413;-0,158124341;-12,09414025;-7,521654059;-6,190781172;0;0,049382716;0,012345679;0,518518519;0,117283951;0,450617284;0;0,679012346;0,25308642;0,012345679;0,302469136;0,141975309;0,302469136;0,030864198;0,055555556;0;0,055555556;0,148148148;0;0,12962963;1,209876543;1,314814815;0,00617284;0,74691358;0,024691358;0;0;0;0,074074074;3;T;59;0.078385;110556752
