A1PP;A1Blok;A1Condition;A1timestamp;A1SnMouseAct;A1SnLeftClicked;A1SnRightClicked;A1SnDoubleClicked;A1SnWheel;A1SnDragged;A1SnMouseDistance;A1SnKeyStrokes;A1SnChars;A1SnSpecialKeys;A1SnDirectionKeys;A1SnErrorKeys;A1SnShortcutKeys;A1SnSpaces;A1SnAppChange;A1SnTabfocusChange;A2Blok;A2SnMouseAct;A2SnLeftClicked;A2SnRightClicked;A2SnDoubleClicked;A2SnWheel;A2SnDragged;A2SnMouseDistance;A2SnKeyStrokes;A2SnChars;A2SnSpecialKeys;A2SnDirectionKeys;A2SnErrorKeys;A2SnShortcutKeys;A2SnSpaces;A2SnAppChange;A2SnTabfocusChange;B1Blok;B1Squality;B1Sneutral;B1Shappy;B1Ssad;B1Sangry;B1Ssurprised;B1Sscared;B1Sdisgusted;B1Svalence;B1SyHeadOrientation;B1SxHeadOrientation;B1SzHeadOrientation;B1SmouthOpen;B1SleftEyeClosed;B1SrightEyeClosed;B1SleftEyebrowLowered;B1SleftEyebrowRaised;B1SrightEyebrowLowered;B1SrightEyebrowRaised;B1SgazeDirectionForward;B1SgazeDirectionLeft;B1SgazeDirectionRight;B1SAu01_InnerBrowRaiser;B1SAu02_OuterBrowRaiser;B1SAu04_BrowLowerer;B1SAu05_UpperLidRaiser;B1SAu06_CheekRaiser;B1SAu07_LidTightener;B1SAu09_NoseWrinkler;B1SAu10_UpperLipRaiser;B1SAu12_LipCornerPuller;B1SAu14_Dimpler;B1SAu15_LipCornerDepressor;B1SAu17_ChinRaiser;B1SAu20_LipStretcher;B1SAu23_LipTightener;B1SAu24_LipPressor;B1SAu25_LipsPart;B1SAu26_JawDrop;B1SAu27_MouthStretch;B1SAu43_EyesClosed;B2C;B2Squality;B2Sneutral;B2Shappy;B2Ssad;B2Sangry;B2Ssurprised;B2Sscared;B2Sdisgusted;B2Svalence;B2SyHeadOrientation;B2SxHeadOrientation;B2SzHeadOrientation;B2SmouthOpen;B2SleftEyeClosed;B2SrightEyeClosed;B2SleftEyebrowLowered;B2SleftEyebrowRaised;B2SrightEyebrowLowered;B2SrightEyebrowRaised;B2SgazeDirectionForward;B2SgazeDirectionLeft;B2SgazeDirectionRight;B2SAu01_InnerBrowRaiser;B2SAu02_OuterBrowRaiser;B2SAu04_BrowLowerer;B2SAu05_UpperLidRaiser;B2SAu06_CheekRaiser;B2SAu07_LidTightener;B2SAu09_NoseWrinkler;B2SAu10_UpperLipRaiser;B2SAu12_LipCornerPuller;B2SAu14_Dimpler;B2SAu15_LipCornerDepressor;B2SAu17_ChinRaiser;B2SAu20_LipStretcher;B2SAu23_LipTightener;B2SAu24_LipPressor;B2SAu25_LipsPart;B2SAu26_JawDrop;B2SAu27_MouthStretch;B2SAu43_EyesClosed;DC;DHR;DRMSSD;DSCL
PP15;1;N;20121015T095600000;19;5;0;0;12;1;9,02E+14;20;18;2;0;0;0;1;0;5;0;19;5;0;0;12;1;9,02E+14;20;18;2;0;0;0;1;0;5;1;0,94173;0,88413;0,00559;0,03383;0,00138;0,23405;0,01332;0,00092;-0,02836;1,53469;-3,75812;1,24743;0,00000;0,20502;0,19247;0,00000;0,00000;0,00000;0,00000;0,84100;0,01674;0,05021;0,02092;0,00418;0,00000;2,79916;0,00000;0,00000;0,00000;0,08368;0,00000;0,00837;0,00000;0,00000;0,00000;0,17992;0,00000;0,00000;0,00000;0,00000;0,77824;1;0,94173;0,88413;0,00559;0,03383;0,00138;0,23405;0,01332;0,00092;-0,02836;1,53469;-3,75811;1,24743;0,00000;0,20502;0,19247;0,00000;0,00000;0,00000;0,00000;0,84100;0,01674;0,05021;0,02092;0,00418;0,00000;2,79916;0,00000;0,00000;0,00000;0,08368;0,00000;0,00837;0,00000;0,00000;0,00000;0,17992;0,00000;0,00000;0,00000;0,00000;0,77824;1;58;0,048726;223723926
PP4;1;N;20120925T133400000;0;0;0;0;0;0;0;57;31;26;0;9;0;7;0;0;1;0;0;0;0;0;0;0;57;31;26;0;9;0;7;0;0;1;0,94225;0,93576;0,03435;0,02653;0,02291;0,00463;0,00000;0,00217;-0,00207;-6,36653;-1,14567;-7,69215;0,00000;0,43928;0,23688;0,00300;0,02999;0,01349;0,00000;0,84408;0,00600;0,05697;0,00000;0,26387;0,00150;0,00000;0,00000;0,46627;0,00000;0,00000;0,00000;1,12744;0,03148;0,19340;0,00000;0,16342;0,00000;0,00000;0,00000;0,00000;0,44078;1;0,94225;0,93576;0,03434;0,02653;0,02291;0,00463;0,00000;0,00217;-0,00207;-6,36653;-1,14567;-7,69215;0,00000;0,43928;0,23688;0,00300;0,02999;0,01349;0,00000;0,84408;0,00600;0,05697;0,00000;0,26387;0,00150;0,00000;0,00000;0,46627;0,00000;0,00000;0,00000;1,12744;0,03148;0,19340;0,00000;0,16342;0,00000;0,00000;0,00000;0,00000;0,44078;1;58;0,085618;99552278
PP13;3;I;20121010T114700000;33;14;0;1;2;8;4,10E+16;51;33;18;0;1;0;0;2;6;0;33;14;0;1;2;8;4,10E+16;51;33;18;0;1;0;0;2;6;3;0,94278;0,95160;0,02557;0,01019;0,00857;0,00751;0,00017;0,00208;0,00849;-8,55095;5,30157;0,72970;0,00833;0,17083;0,11667;0,00000;0,00000;0,00000;0,10417;0,63750;0,02917;0,15000;0,00000;0,62083;0,00000;0,00000;0,00000;0,02083;0,00000;0,00000;0,00000;0,00000;0,00833;0,00833;0,18750;0,00417;0,00000;0,00833;0,00000;0,00000;0,02083;3;0,94278;0,95160;0,02557;0,01019;0,00857;0,00751;0,00017;0,00208;0,00849;-8,55095;5,30157;0,72970;0,00833;0,17083;0,11667;0,00000;0,00000;0,00000;0,10417;0,63750;0,02917;0,15000;0,00000;0,62083;0,00000;0,00000;0,00000;0,02083;0,00000;0,00000;0,00000;0,00000;0,00833;0,00833;0,18750;0,00417;0,00000;0,00833;0,00000;0,00000;0,02083;3;58;0,078739;21899453
PP6;3;T;20121001T164400000;10;6;0;0;0;2;3,46E+15;90;34;56;14;5;1;7;11;1;3;10;6;0;0;0;2;3,46E+15;90;34;56;14;5;1;7;11;1;3;0,94336;0,78319;0,00369;0,02434;0,19041;0,00398;0,00000;0,03316;-0,19584;-9,95642;-4,23760;-8,71930;0,07203;0,00424;0,00848;0,71610;0,00000;0,08051;0,00000;0,91949;0,03390;0,00424;0,00000;0,00000;0,10170;0,00000;0,00000;0,00000;0,06780;0,05509;0,00000;0,18220;1,54237;1,46610;0,37288;0,63136;0,00000;0,12288;0,00848;0,00424;0,04237;3;0,94336;0,78319;0,00369;0,02434;0,19041;0,00398;0,00000;0,03316;-0,19584;-9,95642;-4,23760;-8,71930;0,07203;0,00424;0,00847;0,71610;0,00000;0,08051;0,00000;0,91949;0,03390;0,00424;0,00000;0,00000;0,10169;0,00000;0,00000;0,00000;0,06780;0,05508;0,00000;0,18220;1,54237;1,46610;0,37288;0,63136;0,00000;0,12288;0,00847;0,00424;0,04237;3;58;0,121922;105129041
PP13;2;T;20121010T105100000;11;7;0;1;3;0;1,11E+16;57;42;15;1;3;0;5;2;3;0;11;7;0;1;3;0;1,11E+16;57;42;15;1;3;0;5;2;3;2;0,94458;0,91905;0,02374;0,01643;0,01430;0,00685;0,00016;0,00162;-0,00365;-8,56262;5,12816;2,50405;0,00000;0,19481;0,19048;0,00433;0,00000;0,01299;0,10390;0,71862;0,00433;0,10823;0,00000;0,69697;0,01299;0,00000;0,00000;0,06061;0,00000;0,00000;0,00000;0,00000;0,00000;0,05628;0,01299;0,02597;0,00000;0,00000;0,00000;0,00000;0,12121;2;0,94458;0,91905;0,02374;0,01643;0,01430;0,00685;0,00016;0,00161;-0,00365;-8,56262;5,12816;2,50405;0,00000;0,19481;0,19048;0,00433;0,00000;0,01299;0,10390;0,71861;0,00433;0,10823;0,00000;0,69697;0,01299;0,00000;0,00000;0,06061;0,00000;0,00000;0,00000;0,00000;0,00000;0,05628;0,01299;0,02597;0,00000;0,00000;0,00000;0,00000;0,12121;2;58;0,067789;194689417
PP6;2;I;20121001T154700000;16;9;0;3;0;2;4,50E+15;154;98;56;0;11;1;21;11;2;2;16;9;0;3;0;2;4,50E+15;154;98;56;0;11;1;21;11;2;2;0,95001;0,71391;0,00027;0,07407;0,10333;0,00288;0,00000;0,02673;-0,13800;-10,18614;-4,00109;-7,69019;0,02954;0,00000;0,00000;0,67933;0,00000;0,13080;0,00000;0,86498;0,10549;0,00844;0,00000;0,00000;0,24051;0,00000;0,00000;0,00000;0,00422;0,18987;0,00000;0,01688;2,06329;2,01266;0,03376;0,74262;0,00000;0,06329;0,02954;0,00000;0,00000;2;0,95001;0,71391;0,00027;0,07407;0,10333;0,00288;0,00000;0,02673;-0,13800;-10,18613;-4,00109;-7,69019;0,02954;0,00000;0,00000;0,67932;0,00000;0,13080;0,00000;0,86498;0,10549;0,00844;0,00000;0,00000;0,24051;0,00000;0,00000;0,00000;0,00422;0,18987;0,00000;0,01688;2,06329;2,01266;0,03376;0,74262;0,00000;0,06329;0,02954;0,00000;0,00000;2;58;0,099255;11048781
PP13;2;T;20121010T105500000;43;20;3;1;1;9;4,15E+16;40;7;33;10;16;0;2;6;2;0;43;20;3;1;1;9;4,15E+16;40;7;33;10;16;0;2;6;2;2;0,96267;0,98027;0,01033;0,00394;0,00901;0,00692;0,00002;0,00169;-0,00026;-8,41074;6,79037;0,41532;0,00000;0,01667;0,00417;0,00000;0,00000;0,00000;0,01250;0,84583;0,00000;0,13333;0,00000;1,53750;0,00000;0,00000;0,00000;0,07083;0,00000;0,00000;0,00000;0,00000;0,00000;0,04583;0,07917;0,04167;0,00000;0,00000;0,00000;0,00000;0,00417;2;0,96267;0,98027;0,01033;0,00394;0,00901;0,00692;0,00002;0,00169;-0,00026;-8,41074;6,79037;0,41532;0,00000;0,01667;0,00417;0,00000;0,00000;0,00000;0,01250;0,84583;0,00000;0,13333;0,00000;1,53750;0,00000;0,00000;0,00000;0,07083;0,00000;0,00000;0,00000;0,00000;0,00000;0,04583;0,07917;0,04167;0,00000;0,00000;0,00000;0,00000;0,00417;2;58;0,091929;195472041
PP6;2;I;20121001T160400000;64;20;2;7;23;6;3,84E+15;9;0;9;0;1;2;0;11;8;2;64;20;2;7;23;6;3,84E+15;9;0;9;0;1;2;0;11;8;2;0,86509;0,32759;0,02882;0,04475;0,05170;0,00138;0,00022;0,07869;-0,09751;-3,07485;-15,58006;-7,41256;0,02941;0,00000;0,00000;0,10084;0,02941;0,20588;0,00000;0,44538;0,54202;0,00000;0,00000;0,00000;0,04622;0,00000;0,00000;0,00000;1,70168;1,55882;0,78992;0,00000;0,17647;1,16387;0,00000;0,64286;0,00000;0,03361;0,00000;0,00000;0,00000;2;0,86509;0,32759;0,02882;0,04475;0,05170;0,00138;0,00022;0,07869;-0,09751;-3,07484;-15,58005;-7,41256;0,02941;0,00000;0,00000;0,10084;0,02941;0,20588;0,00000;0,44538;0,54202;0,00000;0,00000;0,00000;0,04622;0,00000;0,00000;0,00000;1,70168;1,55882;0,78992;0,00000;0,17647;1,16387;0,00000;0,64286;0,00000;0,03361;0,00000;0,00000;0,00000;2;59;0,077742;90668453
PP6;3;T;20121001T164800000;27;13;0;2;2;5;1,32E+16;59;23;36;0;6;2;4;9;0;3;27;13;0;2;2;5;1,32E+16;59;23;36;0;6;2;4;9;0;3;0,89271;0,52810;0,00511;0,10364;0,10136;0,00612;0,00037;0,04597;-0,16980;-3,96689;-6,22023;-7,43010;0,06009;0,00000;0,03004;0,46781;0,00000;0,54077;0,00000;0,48498;0,29614;0,09871;0,16738;0,00000;0,80687;0,20172;0,00000;0,07296;0,35193;1,04292;0,10300;0,16738;1,02575;1,40343;0,36910;0,57940;0,02575;0,13305;0,00429;0,00000;0,03004;3;0,89271;0,52810;0,00511;0,10364;0,10136;0,00612;0,00037;0,04597;-0,16980;-3,96689;-6,22023;-7,43010;0,06009;0,00000;0,03004;0,46781;0,00000;0,54077;0,00000;0,48498;0,29614;0,09871;0,16738;0,00000;0,80687;0,20172;0,00000;0,07296;0,35193;1,04292;0,10300;0,16738;1,02575;1,40343;0,36910;0,57940;0,02575;0,13305;0,00429;0,00000;0,03004;3;59;0,055611;95288178
PP6;3;T;20121001T163200000;4;3;1;0;0;0;2,40E+15;176;130;46;1;15;0;24;2;1;3;4;3;1;0;0;0;2,40E+15;176;130;46;1;15;0;24;2;1;3;0,89683;0,49429;0,02748;0,19595;0,07927;0,00533;0,00198;0,01650;-0,23378;-8,35734;-6,35269;-3,70537;0,08763;0,10825;0,09794;0,39175;0,00516;0,20103;0,00000;0,67010;0,17526;0,04639;0,42784;0,00000;0,21134;0,00000;0,00000;0,01546;0,55155;0,93299;0,09794;0,05670;0,14433;0,20619;0,00516;1,23196;0,18041;0,18041;0,00000;0,00000;0,10309;3;0,89683;0,49429;0,02748;0,19595;0,07927;0,00533;0,00198;0,01650;-0,23378;-8,35734;-6,35269;-3,70537;0,08763;0,10825;0,09794;0,39175;0,00515;0,20103;0,00000;0,67010;0,17526;0,04639;0,42784;0,00000;0,21134;0,00000;0,00000;0,01546;0,55155;0,93299;0,09794;0,05670;0,14433;0,20619;0,00515;1,23196;0,18041;0,18041;0,00000;0,00000;0,10309;3;59;0,100127;101487042
PP4;3;T;20120925T153700000;1;1;0;0;0;0;7,21E+15;139;96;43;0;15;0;22;0;0;3;1;1;0;0;0;0;7,21E+15;139;96;43;0;15;0;22;0;0;3;0,91563;0,88930;0,05313;0,03517;0,01882;0,00829;0,00000;0,00234;0,01564;-8,40875;-0,37132;-11,37561;0,01288;0,43348;0,28326;0,02575;0,03004;0,00429;0,00000;0,87554;0,02575;0,06438;0,00000;1,45494;0,00858;0,03434;0,00000;0,72103;0,08155;0,00000;0,00429;2,38197;0,03434;0,14592;0,00000;0,01288;0,00000;0,02575;0,00000;0,00000;0,96137;3;0,91563;0,88930;0,05313;0,03517;0,01882;0,00829;0,00000;0,00234;0,01564;-8,40875;-0,37132;-11,37561;0,01288;0,43348;0,28326;0,02575;0,03004;0,00429;0,00000;0,87554;0,02575;0,06438;0,00000;1,45494;0,00858;0,03433;0,00000;0,72103;0,08155;0,00000;0,00429;2,38197;0,03433;0,14592;0,00000;0,01288;0,00000;0,02575;0,00000;0,00000;0,96137;3;59;0,089963;176801976
